NiceForNow Configuration,Tất Cả
Allowed Scopes,Phạm vi được phép
You need more permissions to delete this item(s): %1.,Bạn cần được cấp quyền để xoá các mục này: %1.
You need more permissions to apply some of the rule updates.,Bạn cần được cấp quyền để áp dụng một số quy tắc Cập Nhật.
Please assign this entity to a store view.,Hãy phân bổ thuộc tính này lên cửa hàng.
You can create orders only in an active store.,Bạn chỉ có thể tạo đơn hàng trong mộng cửa hàng đang hoạt động.
Please assign this item to a store view.,Hãy chỉ định mục này vào một cửa hàng.
You need more permissions to save this item.,Bạn cần được cấp quyền để có thể lưu khoản mục này.
You need more permissions to delete this item.,Bạn cần được cấp quyền để xóa bỏ khoản mục này.
You need more permissions to view this item.,Bạn cần được cấp quyền xem khoản mục này.
Please specify at least one website or one store group.,Vui lòng chỉ định ít nhất một trang web hoặc một nhóm cửa hàng.
You need more permissions to set All Scopes to a Role.,Bạn cần được cấp quyền để đặt Tất cả phạm vi thành một vai trò.
Incorrect website ID: %1,Incorrect website ID: %1
"You need more permissions to access website ""%1"".","Bạn cần được cấp quyền để truy cập trang web ""%1""."
Incorrect store ID: %1,Incorrect store ID: %1
You need more permissions to save this setting.,Bạn cần được cấp quyền để lưu cài đặt này.
Role Scopes,Phạm vi ghi vai trò
Custom,Tùy chỉnh
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",Bạn không có quyền lưu mặt hàng này trong phạm vi Trang hiển thị cửa hàng hiện tại. Vui lòng chuyển sang Trang hiển thị cửa hàng được phép
"More permissions are needed to delete the ""%1"" item.","Bạn cần được cấp quyền để xóa ""%1"" mục."
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,Thực thể này cần được chỉ định cho Trang hiển thị cửa hàng. Xác minh việc gán thực thể và thử lại.
Orders can only be completed in an active store. Verify the store and try again.,Đơn đặt hàng chỉ có thể được hoàn thành trong một cửa hàng đang hoạt động. Xác minh cửa hàng và thử lại.
This item needs to be assigned to a store view. Assign item and try again.,Mục này cần được gán cho Trang hiển thị cửa hàng. Chỉ định mục và thử lại.
More permissions are needed to save this item.,Bạn cần được cấp quyền để lưu mục này.
More permissions are needed to delete this item.,Bạn cần được cấp quyền để xóa mục này.
More permissions are needed to view this item.,Bạn cần được cấp quyền để xem mục này.
At least one website or store group needs to be selected. Select and try again.,Cần chọn ít nhất một trang web hoặc nhóm cửa hàng. Chọn và thử lại.
More permissions are needed to set All Scopes to a Role.,Bạn cần được cấp quyền để đặt Tất cả phạm vi thành một vai trò.
"The ""%1"" website ID is incorrect. Verify the website ID and try again."," ""%1"" ID trang web không chính xác. Xác minh ID trang web và thử lại."
"The ""%1"" store ID is incorrect. Verify the store ID and try again."," ""%1"" ID cửa hàng không chính xác. Xác minh ID cửa hàng và thử lại."
More permissions are needed to save this setting.,Bạn cần được cấp quyền để lưu cài đặt này.
Read Details,Đọc chi tiết
Mark as Read,Đánh dấu đã đọc
Messages Inbox,Hộp thư
You have %1 new system messages,Bạn có %1 hệ thống thư mới
You have %1 new system message,Bạn có %1 hệ thống thư mới
Incoming Message,Thư đến
The message has been marked as Read.,Thư được đánh dấu đã đọc.
We couldn't mark the notification as Read because of an error.,Không thể đánh dấu đã đọc vì có lỗi xảy ra.
Please select messages.,Vui lòng chọn thư.
A total of %1 record(s) have been marked as Read., %1 bản ghi chép đã được đánh đấu đã đọc.
Total of %1 record(s) have been removed.,Tất cả biên bản %1 đã được xóa.
We couldn't remove the messages because of an error.,Không thể di chuyển tin nhắn vì có lỗi xảy ra.
The message has been removed.,Thư đã được xóa.
1 Hour,1 Giờ
2 Hours,2 Giờ
6 Hours,6 Giờ
12 Hours,12 Giờ
24 Hours,24 Giờ
major,chính
minor,nhỏ
Wrong message type,Sai loại tin nhắn
Wrong notification ID specified.,Sai thông báo ID.
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} không được khuyến khích sử dụng trong chế độ môi trường sản phẩm để khai báo Base Unsecure URL/Base Secure URL. Chúng tôi khuyến cáo nên thay đổi giá trị này trong Magento của bạn <a href=""%1""> mục cấu hình</a>."
One or more of the Cache Types are invalidated: %1. ,Một hoặc nhiều Cache Types không đúng: %1.
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Vui lòng vào <a href=""%1>Quản lý Bộ nhớ đệm</a> và làm mới."
We were unable to synchronize one or more media files. Please refer to the log file for details.,Chúng tôi không thể đồng bộ hóa một hoặc nhiều tệp phương tiện. Vui lòng tham khảo tệp log để biết thêm chi tiết.
